SCOPE IDENTIFIER	OPT IN STATE	CHANNEL IMPORTANCE	BADGE	SOUND	ALERTS	CRITICAL ALERTS	TIME SENSITIVE	NOTIFICATION CENTER	DISPLAYED ON LOCK SCREEN	ACCEPTS SCHEDULED DELIVERY	LIVE ACTIVITY	LOCATION ALLOWED
device:12e25333f51c7bd22d040d95c499ae70264a2b91b9f243f31f80a70f2cf52a17	ENABLED											
device:3f63a1267f2de235b7a7bf8895bbcf598cab6ddb8bea7853466033cb95fd557a	ENABLED											
device:591a5266aed61746381e240ae44be643f50acaf502f5a8a4148347cce4a1630c	ENABLED											
device:59ac2f6c8dae03e9198006ea2965e0ab4ee6c108714a8838e1f70b42c2b37800&channel:TRAVEL_CHANNEL		DEFAULT										
device:59ac2f6c8dae03e9198006ea2965e0ab4ee6c108714a8838e1f70b42c2b37800&channel:SEARCH_EMPLOY_CHANNEL		DEFAULT										
device:59ac2f6c8dae03e9198006ea2965e0ab4ee6c108714a8838e1f70b42c2b37800&channel:DEPRECATED_GOOGLE_GO_BREAKING_NEWS_CHANNEL		DEFAULT										
device:59ac2f6c8dae03e9198006ea2965e0ab4ee6c108714a8838e1f70b42c2b37800	DISABLED											
device:5f12c74435bfb7ab189576ae4b5a9f8685dcda3d7cc7c1d71bddcd9085f51ee6	ENABLED											
device:61ee65fd83da907dee40c97b96363522cb8477208acee4d9e3a455f995af56c1	ENABLED											
device:7385749f1c19665834c8315c72ce605ecef2feac3e92fafa1f2bb5b060368a16	DISABLED											
device:81cdf363ab36f441c732d7406b5bc540c3deb193591ac8edde98a15d3bbd9bfc	ENABLED											
device:8522662b35ef70f1f065b0aa97d1e2ae2a8607f51172ecc0f25a54cf7daee473	DISABLED											
device:9859199471d98a0d1623d6e6f9456469f80c5e027573ee7e4e59c90343c29168	ENABLED											
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:WEATHER		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:SPORTS		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:STOCKS		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:STORIES		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:BILLS		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:DEPRECATED_AT_A_PLACE		NONE										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937&channel:DEPRECATED_COMMUTE		DEFAULT										
device:b0e489a0afc1cfa0bbc443356d95cfbf680ed4db8a32994732a9fda7e256e937												
device:b6ae0a97341f343b2f4aabfbf29fefd154d888b3fc20b2914fa58453b8a4b2c9	ENABLED											
device:c5a31a8d2de38b46ea225710e484685cf0c8caf9d9408aa6f5f0b6e82bf83fde	ENABLED											
device:c963cbf5897bc45080a8d96f42bef341341d705820f5703c43d12c3ee369cf25	ENABLED											
device:ca13b6dfc6de12326bfe45823a447ce3a6576ae72ec8797b9b324351c83b3006&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:ca13b6dfc6de12326bfe45823a447ce3a6576ae72ec8797b9b324351c83b3006&channel:STORIES_CHANNEL		NONE										
device:ca13b6dfc6de12326bfe45823a447ce3a6576ae72ec8797b9b324351c83b3006&channel:SEARCH_EMPLOY_CHANNEL		LOW										
device:ca13b6dfc6de12326bfe45823a447ce3a6576ae72ec8797b9b324351c83b3006&channel:DEPRECATED_GOOGLE_GO_BREAKING_NEWS_CHANNEL		DEFAULT										
device:ca13b6dfc6de12326bfe45823a447ce3a6576ae72ec8797b9b324351c83b3006	ENABLED											
device:cad6d2f313fb08bf37e9ef61720769dbbf8051f3214cfc00f036f16d5088e7c1	ENABLED											
device:e1f3e03e43942a7908a324b921b94e2c70909684a9c6c7f81448f822dccba631&channel:TRAVEL_CHANNEL		LOW										
device:e1f3e03e43942a7908a324b921b94e2c70909684a9c6c7f81448f822dccba631&channel:SEARCH_EMPLOY_CHANNEL		DEFAULT										
device:e1f3e03e43942a7908a324b921b94e2c70909684a9c6c7f81448f822dccba631&channel:DEVICE_CHANNEL_SEARCH_REMINDERS		DEFAULT										
device:e1f3e03e43942a7908a324b921b94e2c70909684a9c6c7f81448f822dccba631	ENABLED											
